capability_id,framework_id,source_capability_id,source_framework_id,framework_name,capability_code,capability_name
6d535757-f366-5331-b729-ef1127e74004,framework:1,1,1,NSW Public Sector Capability Framework,,Display Resilience and Courage
89cd17fb-7001-509c-9b5c-f39ca3edf5af,framework:1,2,1,NSW Public Sector Capability Framework,,Act with Integrity
f39e2100-9439-5665-a2c2-14dce9ba81e9,framework:1,3,1,NSW Public Sector Capability Framework,,Value Diversity and Inclusion
8d018ebc-fcc4-5416-b695-28cddda61f62,framework:1,4,1,NSW Public Sector Capability Framework,,Communicate Effectively
a460254c-14da-54af-b462-430c452f11d6,framework:1,5,1,NSW Public Sector Capability Framework,,Influence and Negotiate
76383ac2-2da6-59b9-8d06-930315dc1d0e,framework:1,6,1,NSW Public Sector Capability Framework,,Deliver Results
eab1af50-2fa1-5083-a854-38d2c8709bff,framework:1,7,1,NSW Public Sector Capability Framework,,Demonstrate Accountability
221f92cc-6931-5e57-bd9b-1b51de74cec2,framework:1,8,1,NSW Public Sector Capability Framework,,Project Management
602bca9b-87d9-581f-a898-c13b23e4d8f1,framework:1,9,1,NSW Public Sector Capability Framework,,Manage and Develop People
7732d276-de16-5b72-970d-3ba88cc324a9,framework:1,10,1,NSW Public Sector Capability Framework,,Manage Self
93345849-f7ee-52b3-b353-fab17178e0b0,framework:1,11,1,NSW Public Sector Capability Framework,,Commit to Customer Service
322a7cc8-adad-576d-a922-bc493882004c,framework:1,12,1,NSW Public Sector Capability Framework,,Work Collaboratively
f9ff9eba-a9c2-50ef-b663-9cec258c540d,framework:1,13,1,NSW Public Sector Capability Framework,,Plan and Prioritise
ac04cd9b-7fb9-5464-b157-46035c1858ea,framework:1,14,1,NSW Public Sector Capability Framework,,Think and Solve Problems
39dae87e-eade-59cc-a963-4883eaa107b2,framework:1,15,1,NSW Public Sector Capability Framework,,Finance
81c323d6-f17c-5fb3-a369-295e133cc153,framework:1,16,1,NSW Public Sector Capability Framework,,Technology
7c37b1a3-d2cb-5884-85f4-0f4230d04e0f,framework:1,17,1,NSW Public Sector Capability Framework,,Procurement and Contract Management
c0906f8a-9d47-5f17-a647-6e2fb6c393e3,framework:1,18,1,NSW Public Sector Capability Framework,,Inspire Direction and Purpose
b47578ad-3141-5774-b606-2c5d7ea89b0f,framework:1,19,1,NSW Public Sector Capability Framework,,Optimise Business Outcomes
0b550d3f-0d5f-51b2-affa-1f2b528b6971,framework:1,20,1,NSW Public Sector Capability Framework,,Manage Reform and Change
08c60e72-be23-5bbc-8ea7-16945def6eca,framework:10,21,10,Unidentified occupation-specific framework,,Workforce strategy
3e7a38c2-6545-51e7-8795-55b6cd3238fd,framework:10,22,10,Unidentified occupation-specific framework,,Talent Management
33dab063-9020-5afa-9b2d-fa269b9e984b,framework:10,23,10,Unidentified occupation-specific framework,,Development and
8e606ec4-e84a-5135-9a8a-ce9faa58a6a4,framework:10,24,10,Unidentified occupation-specific framework,,"Delivery and Operation, Technology Management"
3393ce9a-5ab3-52d9-82a2-a9c8b6eab7b1,framework:10,25,10,Unidentified occupation-specific framework,,"Delivery and Operation, Security Services"
c636a3d2-6784-5792-b2c7-661db92cc4a6,framework:3,26,3,Finance,,Finance Operations and Systems
28d40d6f-082f-5ba8-a0ce-e30758b2f15c,framework:3,27,3,Finance,,Finance Business Partnering
06ac7a9b-4b3a-5111-86c0-fe16a7df603d,framework:10,28,10,Unidentified occupation-specific framework,,"Relationships and Engagement, Stakeholder Management, Customer Service Support"
f1d39c87-4e61-5874-8a2e-d7737b63d59a,framework:10,29,10,Unidentified occupation-specific framework,,"Delivery and operation, Service Operation, Incident Management"
c08b7f48-8669-5f91-a393-c7699282c038,framework:10,30,10,Unidentified occupation-specific framework,,"Delivery and operation, Service Operation, Security Administration"
782e7218-4ab8-5e33-9ee2-889279df73a7,framework:6,31,6,Information and Communication Technology (ICT),CSMG,"Relationships and Engagement, Stakeholder Management, Customer Service Support"
2b582684-c8c1-5100-bac4-da72f9371d5a,framework:6,32,6,Information and Communication Technology (ICT),USUP,"Delivery and operation, Service Operation, Incident Management"
66877e75-0c33-5732-862d-0f51e8031c3e,framework:6,33,6,Information and Communication Technology (ICT),SCAD,"Delivery and operation, Service Operation, Security Administration"
c2403a67-e307-520a-9a12-36d223b223e8,framework:6,34,6,Information and Communication Technology (ICT),METL,"Strategy and Architecture, Technical Strategy and Planning, Methods and Tools"
6f5d51c1-2ebb-50da-89c0-b6ceb654f14e,framework:6,35,6,Information and Communication Technology (ICT),NTAS,"Delivery and operation, Service Operation, Network Support"
026553e5-72d0-53fb-8dd1-5bdbcc03f285,framework:6,36,6,Information and Communication Technology (ICT),ITOP,"Delivery and operation, Service Operation, IT Infrastructure"
3d4dda49-52b8-54b4-b31e-fac2684627b6,framework:4,37,4,Human resources,,Organisational culture
41f4c7aa-6778-57ab-a9f3-ba8330a3016d,framework:4,38,4,Human resources,,Workforce Relations
77582fe0-7709-5b94-93e5-9837bfe685bd,framework:10,39,10,Unidentified occupation-specific framework,,Strategy and Architecture – Information Strategy
43f36c18-c98c-5d78-a811-ae62d0258a87,framework:10,40,10,Unidentified occupation-specific framework,,Strategy and Architecture – Business strategy and planning
3054ed6c-e197-56c1-ab8c-a085bae5948d,framework:10,41,10,Unidentified occupation-specific framework,,"Change and transformation, Business change implementation"
81cded9a-01c6-59c7-95da-a83cc31b1be3,framework:4,42,4,Human resources,,Organisational design
24316df4-2a74-57b7-a32a-7a325ab0a3ae,framework:4,43,4,Human resources,,Talent Management
