framework_name,raw_level,normalized_level,assignment_count,interpretation_status
Finance,Level 1,1.0,11,mapped
Finance,Level 2,2.0,20,mapped
Finance,Level 3,3.0,9,mapped
Finance,Level 4,4.0,18,mapped
Finance,Level 5,5.0,11,mapped
Human resources,Level 1,1.0,6,mapped
Human resources,Level 2,2.0,35,mapped
Human resources,Level 3,3.0,23,mapped
Human resources,Level 4,4.0,12,mapped
Information and Communication Technology (ICT),Level 3,3.0,6,mapped
Information and Communication Technology (ICT),Level 4,4.0,45,mapped
Information and Communication Technology (ICT),Level 5,5.0,71,mapped
Information and Communication Technology (ICT),Level 6,6.0,8,mapped
NSW Public Sector Capability Framework,Adept,3.0,7694,mapped
NSW Public Sector Capability Framework,Advanced,4.0,3284,mapped
NSW Public Sector Capability Framework,Foundational,1.0,2813,mapped
NSW Public Sector Capability Framework,Highly Advanced,5.0,300,mapped
NSW Public Sector Capability Framework,Intermediate,2.0,6113,mapped
Procurement,Level 1,1.0,6,mapped
Procurement,Level 2,2.0,25,mapped
Procurement,Level 3,3.0,12,mapped
Procurement,Level 4,4.0,6,mapped
Procurement,Level 5,5.0,1,mapped
Unidentified occupation-specific framework,Level (PBMG),,1,review_required
Unidentified occupation-specific framework,Level - SCAD,,1,review_required
Unidentified occupation-specific framework,Level 1,1.0,4,mapped
Unidentified occupation-specific framework,Level 2,2.0,15,mapped
Unidentified occupation-specific framework,Level 3,3.0,7,mapped
Unidentified occupation-specific framework,Level 3 - CSMG,3.0,3,mapped
Unidentified occupation-specific framework,Level 3 - SCAD,3.0,2,mapped
Unidentified occupation-specific framework,Level 3 - SUPP,3.0,1,mapped
Unidentified occupation-specific framework,Level 3 - USUP,3.0,1,mapped
Unidentified occupation-specific framework,Level 3 – CSMG,3.0,1,mapped
Unidentified occupation-specific framework,Level 3 – NTAS,3.0,2,mapped
Unidentified occupation-specific framework,Level 3 – PBMG,3.0,1,mapped
Unidentified occupation-specific framework,Level 3 – USUP,3.0,1,mapped
Unidentified occupation-specific framework,Level 4,4.0,51,mapped
