classification_id,raw_label,display_label,abbreviation,cohort,seniority_order,enterprise_agreement,active,notes,updated_at
1,TAFE Worker Level 9,TAFE Worker Level 9,TWL9,TWL8-TM1,90.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
2,TAFE Manager Level 1,TAFE Manager Level 1,TM1,TWL8-TM1,100.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
3,TAFE Worker Level 8,TAFE Worker Level 8,TWL8,TWL8-TM1,80.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
4,TAFE Worker Level 6,TAFE Worker Level 6,TWL6,TWL5-TWL7,60.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
5,TAFE Manager Level 2,TAFE Manager Level 2,TM2,TM2-TM4,110.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
6,TAFE Worker Level 4,TAFE Worker Level 4,TWL4,TWL1-TWL4,40.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
7,TAFE Manager Level 3,TAFE Manager Level 3,TM3,TM2-TM4,120.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
8,TAFE Manager Level 4,TAFE Manager Level 4,TM4,TM2-TM4,130.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
9,PSSE Band 1,PSSE Band 1,PSSE1,Senior Executive,160.0,Public Service Senior Executives,1,,2026-07-16 04:49:17
10,Senior Education Officer,Senior Education Officer,SEO,TWL8-TM1,91.0,Educational Services,1,,2026-07-16 04:49:17
11,TAFE Worker Level 3,TAFE Worker Level 3,TWL3,TWL1-TWL4,30.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
12,TAFE Worker Level 7,TAFE Worker Level 7,TWL7,TWL5-TWL7,70.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
13,TAFE Manager Level 5,TAFE Manager Level 5,TM5,TM5,140.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
14,TAFE Worker Level 5,TAFE Worker Level 5,TWL5,TWL5-TWL7,50.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
15,Chief Education Officer,Chief Education Officer,CEO,TWL8-TM1,101.0,Educational Services,1,,2026-07-16 04:49:17
16,PSSE Band 2,PSSE Band 2,PSSE2,Senior Executive,170.0,Public Service Senior Executives,1,,2026-07-16 04:49:17
17,TAFE Worker Level 2,TAFE Worker Level 2,TWL2,TWL1-TWL4,20.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
18,TAFE Manager Level 6,TAFE Manager Level 6,TM6,Senior Executive,150.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
19,Librarian Grade 2,Librarian Grade 2,LG2,Librarian,200.0,Specialist / legacy classification,1,,2026-07-16 04:49:17
20,Librarian Grade 3,Librarian Grade 3,LG3,Librarian,200.0,Specialist / legacy classification,1,,2026-07-16 04:49:17
21,Education Officer,Education Officer,EO,TWL8-TM1,81.0,Educational Services,1,,2026-07-16 04:49:17
22,TAFE Manager 1,TAFE Manager Level 1,TM1,TWL8-TM1,100.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
23,Counsellor,Counsellor,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
24,Education Support Officer,Education Support Officer,ESO,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
25,Librarian Grade 1,Librarian Grade 1,LG1,Librarian,200.0,Specialist / legacy classification,1,,2026-07-16 04:49:17
26,Librarian Grade 4,Librarian Grade 4,LG4,Librarian,200.0,Specialist / legacy classification,1,,2026-07-16 04:49:17
