role_id,applicability_status,reason,classification_cohort,has_focus_capabilities
b53a9c2a-1354-566d-b69e-7bd06974992a,review_required,no capability records; confirm missing or not applicable,Other / Unclassified,false
f56fc877-9a1b-5043-9a86-57d27f647d09,applicable,capability records present,TWL8-TM1,true
9e08f743-6b29-5331-b3d6-15d05828a8c3,applicable,capability records present,TWL1-TWL4,true
57e2bcd0-1517-5d21-9c63-d25f211d7982,review_required,no capability records; confirm missing or not applicable,Other / Unclassified,false
093fa2ff-b753-50a5-83e2-399ac9ffe364,applicable,capability records present,TWL8-TM1,true
7f22d030-a3de-599f-b0ab-fc692adc92d0,applicable,capability records present,TWL8-TM1,true
5fc285d5-159d-5ada-b949-d26bc1e4a9c0,applicable,capability records present,TWL1-TWL4,true
5488ae52-8f90-550d-8dff-f39fbdf12cb9,applicable,capability records present,TWL8-TM1,true
4e70ede2-0390-58c1-85b8-040f96a2ab7a,review_required,no capability records; confirm missing or not applicable,Other / Unclassified,false
61cad0da-379e-5ca7-a542-397f43a4d721,applicable,capability records present,Other / Unclassified,true
3b4b2b02-283b-5061-9dca-0f62f63f5ba1,applicable,capability records present,TWL1-TWL4,true
30b401ce-bf92-59a0-b9c4-62262c8749e7,applicable,capability records present,TWL1-TWL4,true
044626a8-fb9d-5130-9bee-a781fc5070fb,applicable,capability records present,TWL8-TM1,true
b56dbb19-8f59-56e2-b0b6-7c7de7f380d5,applicable,capability records present,TWL8-TM1,true
7515e3a1-4c07-5fcf-8a80-dc747006af2f,applicable,capability records present,Other / Unclassified,true
c6349bb0-ff6b-5602-bb4e-787a92e76297,applicable,capability records present,Other / Unclassified,true
e7c9e2bf-0f18-58d4-91c5-73d81424a37d,applicable,capability records present,Other / Unclassified,true
b59c196f-493d-5ed1-96a3-4111fd721753,applicable,capability records present,TWL1-TWL4,true
b7e4bc96-e59d-582a-acff-39556b0e13bb,review_required,no capability records; confirm missing or not applicable,Other / Unclassified,false
5fd4fa37-9e0c-544d-99a4-54f04fa69ee3,review_required,no capability records; confirm missing or not applicable,Other / Unclassified,false
2a0bcd65-8a81-5d73-a6cc-06ffed404f6e,applicable,capability records present,TWL1-TWL4,true
