role_id,position_description_id,sequence,requirement_type,item_text
b53a9c2a-1354-566d-b69e-7bd06974992a,1,1,essential_requirement,"Appropriate subject knowledge, skills and industry qualifications in the discipline and a commitment to maintain technical currency. (Note: this may include particular levels of experience and or industry qualifications)."
b53a9c2a-1354-566d-b69e-7bd06974992a,1,2,essential_requirement,"Minimum of three years post-qualification experience in industry relevant to your qualifications, gained no longer than five years previously."
b53a9c2a-1354-566d-b69e-7bd06974992a,1,3,essential_requirement,Evidence of holding the appropriate teaching qualifications to deliver Vocational Education and Training. See the candidate support document (here) for details.
b53a9c2a-1354-566d-b69e-7bd06974992a,1,4,essential_requirement,Be prepared to continue to develop their Vocational Education and Training (VET) knowledge and skills as well as their industry currency and teacher/assessor competence.
b53a9c2a-1354-566d-b69e-7bd06974992a,1,5,essential_requirement,"Effective and flexible communication skills in English and proven ability to communicate effectively in a wide range of educational, industrial or community environments."
b53a9c2a-1354-566d-b69e-7bd06974992a,1,6,essential_requirement,Commitment and ability to facilitate learning in an adult environment and demonstrated organisational skills applicable to an educational setting.
b53a9c2a-1354-566d-b69e-7bd06974992a,1,7,essential_requirement,Demonstrated commitment to quality customer service and demonstrated ability to contribute in a team environment.
b53a9c2a-1354-566d-b69e-7bd06974992a,1,8,essential_requirement,Proven strengths in problem solving and change management.
f56fc877-9a1b-5043-9a86-57d27f647d09,2,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
f56fc877-9a1b-5043-9a86-57d27f647d09,2,2,essential_requirement,Appropriate degree or diploma at AQL levels 5-8 or equivalent vocational and or industrial experience.
f56fc877-9a1b-5043-9a86-57d27f647d09,2,3,essential_requirement,Aboriginality is a genuine occupational qualification and is authorised under Section 14 of the Anti-Discrimination Act 1977. Candidates selected for an interview must provide Confirmation of Aboriginality documentation at or before interview.
f56fc877-9a1b-5043-9a86-57d27f647d09,2,4,essential_requirement,"Proven ability to engage with Aboriginal organisations, communities and individuals to foster productive and harmonious working relationships."
9e08f743-6b29-5331-b3d6-15d05828a8c3,3,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
9e08f743-6b29-5331-b3d6-15d05828a8c3,3,2,essential_requirement,"Certificate IV in relevant area or equivalent skills, knowledge and experience in administration support services."
9e08f743-6b29-5331-b3d6-15d05828a8c3,3,3,essential_requirement,Aboriginality is a genuine occupational qualification and is authorised under Section 14 of the Anti-Discrimination Act 1977. Candidates selected for an interview must provide Confirmation of Aboriginality documentation at or before interview.
9e08f743-6b29-5331-b3d6-15d05828a8c3,3,4,essential_requirement,Class C drivers licence.
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,1,essential_requirement,"Appropriate technical or professional qualifications plus appropriate industry experience that meets the minimum industry qualifications, certification and/or licensing requirements outlined in the relevant Training Package or accredited course. (Note: this may include particular levels of experience and / or industry qualifications. The relevant learning location will insert the specific detail for the role)."
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,2,essential_requirement,Evidence of holding the appropriate qualifications to assess Vocational Education and Training. See the candidate support document (here) for details.
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,3,essential_requirement,"Demonstrated ability to develop and conduct assessments, validations and moderations in the VET environment."
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,4,essential_requirement,Demonstrated understanding of VET regulatory compliance requirements.
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,5,essential_requirement,"Understanding of the content of learning materials and the processes used in the discipline, and a commitment to maintain professional currency."
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,6,essential_requirement,"High-level interpersonal and communication skills, including the ability to be proactive and show initiative and good organisational skills."
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,7,essential_requirement,Commitment and ability to provide feedback in an adult learning environment and a demonstrated ability to motivate and encourage students.
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,8,essential_requirement,Ability to establish effective working relationships with people from a diverse range of backgrounds and to provide quality customer service as part of a broader team.
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,9,essential_requirement,Skills in the use of relevant information and communication technologies.
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,10,essential_requirement,This Position Description incorporates pre-existing agreed Statement of Duties and Enterprise Agreement information with minor changes to reflect contemporary TAFE NSW language and revised Standards for RTOs.
093fa2ff-b753-50a5-83e2-399ac9ffe364,5,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
093fa2ff-b753-50a5-83e2-399ac9ffe364,5,2,essential_requirement,"Degree qualification in related field or equivalent industry experience or Certificate IV in Training and Assessment/progress in achieving the Certificate IV in Training and Assessment, or another relevant educational qualification and knowledge of competency-based training."
093fa2ff-b753-50a5-83e2-399ac9ffe364,5,3,essential_requirement,Proven experience in supporting the development and implementation of leadership and management development programs.
093fa2ff-b753-50a5-83e2-399ac9ffe364,5,4,essential_requirement,"Proven experience in applying adult learning principles, instructional design methodologies, pedagogic strategies and technologies that achieve specified learning outcomes."
7f22d030-a3de-599f-b0ab-fc692adc92d0,6,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
7f22d030-a3de-599f-b0ab-fc692adc92d0,6,2,essential_requirement,"Degree in relevant discipline or equivalent skills, knowledge and experience."
7f22d030-a3de-599f-b0ab-fc692adc92d0,6,3,essential_requirement,"Experience in impact assessments, implantation planning, mining insights and analysis for medium/large scale change programs involving multiple business units."
7f22d030-a3de-599f-b0ab-fc692adc92d0,6,4,essential_requirement,Ability to extract and analyse data and provide sound recommendations and advice.
7f22d030-a3de-599f-b0ab-fc692adc92d0,6,5,essential_requirement,Ability to engage and build rapport with stakeholders.
5fc285d5-159d-5ada-b949-d26bc1e4a9c0,7,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
5fc285d5-159d-5ada-b949-d26bc1e4a9c0,7,2,essential_requirement,"Certificate II in relevant discipline or equivalent skills, knowledge and experience"
5fc285d5-159d-5ada-b949-d26bc1e4a9c0,7,3,essential_requirement,Sound knowledge of Hazard Analysis Critical Control Points (HACCP) principles and safe work practices.
5fc285d5-159d-5ada-b949-d26bc1e4a9c0,7,4,essential_requirement,Current Responsible Services of Alcohol Certification (if required).
5fc285d5-159d-5ada-b949-d26bc1e4a9c0,7,5,essential_requirement,Knowledge of relevant consumables and equipment.
5488ae52-8f90-550d-8dff-f39fbdf12cb9,8,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
5488ae52-8f90-550d-8dff-f39fbdf12cb9,8,2,essential_requirement,Degree qualification in a related field or equivalent industry experience.
61cad0da-379e-5ca7-a542-397f43a4d721,10,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
61cad0da-379e-5ca7-a542-397f43a4d721,10,2,essential_requirement,"Appropriate degree from a tertiary institution and at least three years study in psychology, or other such study at the Employer deems appropriate, plus two years appropriate vocational experience."
61cad0da-379e-5ca7-a542-397f43a4d721,10,3,essential_requirement,Two years relevant recent counselling experience in personal counselling and educational OR vocational counselling.
61cad0da-379e-5ca7-a542-397f43a4d721,10,4,essential_requirement,Willingness and ability to travel as per business requirements.
3b4b2b02-283b-5061-9dca-0f62f63f5ba1,11,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
3b4b2b02-283b-5061-9dca-0f62f63f5ba1,11,2,essential_requirement,"Certificate IV in relevant discipline or equivalent skills, knowledge and experience."
3b4b2b02-283b-5061-9dca-0f62f63f5ba1,11,3,essential_requirement,Demonstrated ability to provide a high level of customer service within a high-volume transactional environment through delivering complex information with a customer focused approach.
3b4b2b02-283b-5061-9dca-0f62f63f5ba1,11,4,essential_requirement,"Experience gaining, maintaining and applying a range of product and process knowledge to support transactions and customer service activities and providing guidance to others."
3b4b2b02-283b-5061-9dca-0f62f63f5ba1,11,5,essential_requirement,Demonstrated ability to utilise a range of corporate systems and technology to maximise service delivery work and maintain high levels of accuracy in information and data provision and processing.
3b4b2b02-283b-5061-9dca-0f62f63f5ba1,11,6,essential_requirement,"Willingness and ability to travel to nearby learning locations if required, as per conditions contained within the employee’s Enterprise Agreement."
30b401ce-bf92-59a0-b9c4-62262c8749e7,12,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
30b401ce-bf92-59a0-b9c4-62262c8749e7,12,2,essential_requirement,"Certificate III in relevant discipline or equivalent skills, knowledge and experience."
30b401ce-bf92-59a0-b9c4-62262c8749e7,12,3,essential_requirement,"Demonstrated capability to provide customer focussed responses and information in a high-volume environment, across enquiry channels including phone, chat, email and web based, delivering high standard of customer experience."
30b401ce-bf92-59a0-b9c4-62262c8749e7,12,4,essential_requirement,"Demonstrated ability to listen, interpret and convey information in a clear, accurate and appropriate manner responsive to individual customer needs."
30b401ce-bf92-59a0-b9c4-62262c8749e7,12,5,essential_requirement,"Demonstrated administration skills to support contact centre activities and transactions processes including use of office technology, information and customer relationship management (CRM) systems."
044626a8-fb9d-5130-9bee-a781fc5070fb,13,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
044626a8-fb9d-5130-9bee-a781fc5070fb,13,2,essential_requirement,Degree qualification in related field or equivalent significant industry experience.
044626a8-fb9d-5130-9bee-a781fc5070fb,13,3,essential_requirement,Ability to address and meet focus capabilities as stated in the position description.
044626a8-fb9d-5130-9bee-a781fc5070fb,13,4,essential_requirement,"Experience developing web applications using PHP and SQL, HTML,CSS, JavaScript"
044626a8-fb9d-5130-9bee-a781fc5070fb,13,5,essential_requirement,"Knowledge of the following desirable Learning Management Systems, REST based Web Services, WEB Frameworks such as Angular, Unit Testing Tools."
b56dbb19-8f59-56e2-b0b6-7c7de7f380d5,14,1,essential_requirement,A valid Working with Children Check (required prior to commencement).
b56dbb19-8f59-56e2-b0b6-7c7de7f380d5,14,2,essential_requirement,Degree qualification in related field or equivalent significant industry experience.
