role_id,position_description_id,pd_number,title,activity_rank,activity_id,assignment_gaps,retry_count,fallback_used
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,1,a282,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,2,a469,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,3,a1222,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,4,a436,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,5,a025,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,6,a1137,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,7,a859,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,8,a1134,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,9,a523,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,10,a1091,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,11,a465,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000-03,Teacher,12,a052,"Enforcing standards of student conduct and modelling professional behaviour | Training students in housekeeping, economical material use and safe work practices (closest match a410 is staff-focused) | Safeguarding campus property and equipment and reporting damage | Participating in broader campus life and cross-staff cooperation",0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),1,a752,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),2,a934,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),3,a214,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),4,a196,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),5,a686,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),6,a056,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),7,a281,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),8,a030,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),9,a517,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001-02,Aboriginal Education and Engagement Coordinator (Aboriginal Identified Role),10,a589,Providing Aboriginal cultural advice and ensuring cultural integrity of course content and facilities (no vocabulary item covers culturally specific advisory/validation work) | Implementing and reporting on a Reconciliation Implementation Plan specifically (covered only generally by strategy/reporting items),0,No
