role_id,capability_id,source_assignment_id,position_description_id,sequence,capability_type,framework_name,capability_code,capability_name,required_level,normalized_level,capability_group,description,source_text
f56fc877-9a1b-5043-9a86-57d27f647d09,6d535757-f366-5331-b729-ef1127e74004,1,2,1,Focus,NSW Public Sector Capability Framework,,Display Resilience and Courage,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,89cd17fb-7001-509c-9b5c-f39ca3edf5af,2,2,2,Focus,NSW Public Sector Capability Framework,,Act with Integrity,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,f39e2100-9439-5665-a2c2-14dce9ba81e9,3,2,3,Focus,NSW Public Sector Capability Framework,,Value Diversity and Inclusion,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,8d018ebc-fcc4-5416-b695-28cddda61f62,4,2,4,Focus,NSW Public Sector Capability Framework,,Communicate Effectively,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,a460254c-14da-54af-b462-430c452f11d6,5,2,5,Focus,NSW Public Sector Capability Framework,,Influence and Negotiate,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,76383ac2-2da6-59b9-8d06-930315dc1d0e,6,2,6,Focus,NSW Public Sector Capability Framework,,Deliver Results,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,eab1af50-2fa1-5083-a854-38d2c8709bff,7,2,7,Focus,NSW Public Sector Capability Framework,,Demonstrate Accountability,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,221f92cc-6931-5e57-bd9b-1b51de74cec2,8,2,8,Focus,NSW Public Sector Capability Framework,,Project Management,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,602bca9b-87d9-581f-a898-c13b23e4d8f1,9,2,9,Focus,NSW Public Sector Capability Framework,,Manage and Develop People,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,7732d276-de16-5b72-970d-3ba88cc324a9,10,2,10,Complementary,NSW Public Sector Capability Framework,,Manage Self,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,93345849-f7ee-52b3-b353-fab17178e0b0,11,2,11,Complementary,NSW Public Sector Capability Framework,,Commit to Customer Service,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,322a7cc8-adad-576d-a922-bc493882004c,12,2,12,Complementary,NSW Public Sector Capability Framework,,Work Collaboratively,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,f9ff9eba-a9c2-50ef-b663-9cec258c540d,13,2,13,Complementary,NSW Public Sector Capability Framework,,Plan and Prioritise,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,ac04cd9b-7fb9-5464-b157-46035c1858ea,14,2,14,Complementary,NSW Public Sector Capability Framework,,Think and Solve Problems,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,39dae87e-eade-59cc-a963-4883eaa107b2,15,2,15,Complementary,NSW Public Sector Capability Framework,,Finance,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,81c323d6-f17c-5fb3-a369-295e133cc153,16,2,16,Complementary,NSW Public Sector Capability Framework,,Technology,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,7c37b1a3-d2cb-5884-85f4-0f4230d04e0f,17,2,17,Complementary,NSW Public Sector Capability Framework,,Procurement and Contract Management,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,c0906f8a-9d47-5f17-a647-6e2fb6c393e3,18,2,18,Complementary,NSW Public Sector Capability Framework,,Inspire Direction and Purpose,Adept,3.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,b47578ad-3141-5774-b606-2c5d7ea89b0f,19,2,19,Complementary,NSW Public Sector Capability Framework,,Optimise Business Outcomes,Intermediate,2.0,,,
f56fc877-9a1b-5043-9a86-57d27f647d09,0b550d3f-0d5f-51b2-affa-1f2b528b6971,20,2,20,Complementary,NSW Public Sector Capability Framework,,Manage Reform and Change,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,f39e2100-9439-5665-a2c2-14dce9ba81e9,21,3,1,Focus,NSW Public Sector Capability Framework,,Value Diversity and Inclusion,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,8d018ebc-fcc4-5416-b695-28cddda61f62,22,3,2,Focus,NSW Public Sector Capability Framework,,Communicate Effectively,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,322a7cc8-adad-576d-a922-bc493882004c,23,3,3,Focus,NSW Public Sector Capability Framework,,Work Collaboratively,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,76383ac2-2da6-59b9-8d06-930315dc1d0e,24,3,4,Focus,NSW Public Sector Capability Framework,,Deliver Results,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,eab1af50-2fa1-5083-a854-38d2c8709bff,25,3,5,Focus,NSW Public Sector Capability Framework,,Demonstrate Accountability,Foundational,1.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,81c323d6-f17c-5fb3-a369-295e133cc153,26,3,6,Focus,NSW Public Sector Capability Framework,,Technology,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,7c37b1a3-d2cb-5884-85f4-0f4230d04e0f,27,3,7,Focus,NSW Public Sector Capability Framework,,Procurement and Contract Management,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,6d535757-f366-5331-b729-ef1127e74004,28,3,8,Complementary,NSW Public Sector Capability Framework,,Display Resilience and Courage,Foundational,1.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,89cd17fb-7001-509c-9b5c-f39ca3edf5af,29,3,9,Complementary,NSW Public Sector Capability Framework,,Act with Integrity,Foundational,1.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,7732d276-de16-5b72-970d-3ba88cc324a9,30,3,10,Complementary,NSW Public Sector Capability Framework,,Manage Self,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,93345849-f7ee-52b3-b353-fab17178e0b0,31,3,11,Complementary,NSW Public Sector Capability Framework,,Commit to Customer Service,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,a460254c-14da-54af-b462-430c452f11d6,32,3,12,Complementary,NSW Public Sector Capability Framework,,Influence and Negotiate,Intermediate,2.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,f9ff9eba-a9c2-50ef-b663-9cec258c540d,33,3,13,Complementary,NSW Public Sector Capability Framework,,Plan and Prioritise,Foundational,1.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,ac04cd9b-7fb9-5464-b157-46035c1858ea,34,3,14,Complementary,NSW Public Sector Capability Framework,,Think and Solve Problems,Foundational,1.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,39dae87e-eade-59cc-a963-4883eaa107b2,35,3,15,Complementary,NSW Public Sector Capability Framework,,Finance,Foundational,1.0,,,
9e08f743-6b29-5331-b3d6-15d05828a8c3,221f92cc-6931-5e57-bd9b-1b51de74cec2,36,3,16,Complementary,NSW Public Sector Capability Framework,,Project Management,Foundational,1.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,6d535757-f366-5331-b729-ef1127e74004,37,5,1,Focus,NSW Public Sector Capability Framework,,Display Resilience and Courage,Intermediate,2.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,f39e2100-9439-5665-a2c2-14dce9ba81e9,38,5,2,Focus,NSW Public Sector Capability Framework,,Value Diversity and Inclusion,Intermediate,2.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,8d018ebc-fcc4-5416-b695-28cddda61f62,39,5,3,Focus,NSW Public Sector Capability Framework,,Communicate Effectively,Adept,3.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,322a7cc8-adad-576d-a922-bc493882004c,40,5,4,Focus,NSW Public Sector Capability Framework,,Work Collaboratively,Adept,3.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,76383ac2-2da6-59b9-8d06-930315dc1d0e,41,5,5,Focus,NSW Public Sector Capability Framework,,Deliver Results,Adept,3.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,221f92cc-6931-5e57-bd9b-1b51de74cec2,42,5,6,Focus,NSW Public Sector Capability Framework,,Project Management,Adept,3.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,89cd17fb-7001-509c-9b5c-f39ca3edf5af,43,5,7,Complementary,NSW Public Sector Capability Framework,,Act with Integrity,Adept,3.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,7732d276-de16-5b72-970d-3ba88cc324a9,44,5,8,Complementary,NSW Public Sector Capability Framework,,Manage Self,Adept,3.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,93345849-f7ee-52b3-b353-fab17178e0b0,45,5,9,Complementary,NSW Public Sector Capability Framework,,Commit to Customer Service,Intermediate,2.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,a460254c-14da-54af-b462-430c452f11d6,46,5,10,Complementary,NSW Public Sector Capability Framework,,Influence and Negotiate,Intermediate,2.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,f9ff9eba-a9c2-50ef-b663-9cec258c540d,47,5,11,Complementary,NSW Public Sector Capability Framework,,Plan and Prioritise,Adept,3.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,ac04cd9b-7fb9-5464-b157-46035c1858ea,48,5,12,Complementary,NSW Public Sector Capability Framework,,Think and Solve Problems,Adept,3.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,eab1af50-2fa1-5083-a854-38d2c8709bff,49,5,13,Complementary,NSW Public Sector Capability Framework,,Demonstrate Accountability,Intermediate,2.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,39dae87e-eade-59cc-a963-4883eaa107b2,50,5,14,Complementary,NSW Public Sector Capability Framework,,Finance,Intermediate,2.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,81c323d6-f17c-5fb3-a369-295e133cc153,51,5,15,Complementary,NSW Public Sector Capability Framework,,Technology,Intermediate,2.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,7c37b1a3-d2cb-5884-85f4-0f4230d04e0f,52,5,16,Complementary,NSW Public Sector Capability Framework,,Procurement and Contract Management,Intermediate,2.0,,,
093fa2ff-b753-50a5-83e2-399ac9ffe364,08c60e72-be23-5bbc-8ea7-16945def6eca,53,5,17,Complementary,Unidentified occupation-specific framework,,Workforce strategy,Level 2,2.0,,"Contribute to defining business objectives, create evidence based workforce strategies to achieve outcomes and guide the organisation through the required change","Workforce strategy | Contribute to defining business objectives, create evidence based workforce strategies to achieve outcomes and guide the organisation through the required change | Level 2"
093fa2ff-b753-50a5-83e2-399ac9ffe364,3e7a38c2-6545-51e7-8795-55b6cd3238fd,54,5,18,Complementary,Unidentified occupation-specific framework,,Talent Management,Level 2,2.0,,"Develop approaches to proactively manage the supply of diverse leaders, talent and capabilities across the organisation","Talent Management | Develop approaches to proactively manage the supply of diverse leaders, talent and capabilities across the organisation | Level 2"
7f22d030-a3de-599f-b0ab-fc692adc92d0,7732d276-de16-5b72-970d-3ba88cc324a9,55,6,1,Focus,NSW Public Sector Capability Framework,,Manage Self,Adept,3.0,,,
