role_id,position_description_id,legacy_mapping_pd_id,mapping_rank,mapping_code,mapping_name,mapping_level,mapping_validated,validation_notes,framework_code_valid
,,10057,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
,,10118,1,1008003002,INSTRUCTIONAL DESIGN,Specialisation,Yes,,1
,,10237,1,1028002001,TEACHING AND ASSESSMENT,Specialisation,Yes,,1
,,10649,1,1014005000,ORGANISATION DESIGN,Sub-family,Yes,,1
,,10677,1,1014001001,DIVERSITY AND INCLUSION ADVISORY/SPECIALIST,Specialisation,Yes,,1
,,10709,1,1029004000,FINANCE STRATEGY AND POLICY,Sub-family,Yes,,1
,,10892,1,1015004000,STRATEGIC ASSET PLANNING,Sub-family,Yes,,1
,,10893,1,1005000000,CHANGE,Job Family,Yes,,1
,,11235,1,1019000000,LIBRARY,Job Family,Yes,,1
,,11268,1,1014010003,INJURY MANAGEMENT,Specialisation,Yes,,1
,,11387,1,1002001000,CORPORATE AND SERVICE OPERATIONS,Sub-family,,,1
,,11393,1,1014001001,DIVERSITY AND INCLUSION ADVISORY/SPECIALIST,Specialisation,Yes,,1
,,11394,1,1014001001,DIVERSITY AND INCLUSION ADVISORY/SPECIALIST,Specialisation,Yes,,1
,,11395,1,1014001001,DIVERSITY AND INCLUSION ADVISORY/SPECIALIST,Specialisation,Yes,,1
,,11396,1,1014001001,DIVERSITY AND INCLUSION ADVISORY/SPECIALIST,Specialisation,Yes,,1
,,11408,1,1028002001,TEACHING AND ASSESSMENT,Specialisation,Yes,,1
,,11411,1,1003002000,EXECUTIVE SUPPORT,Sub-family,Yes,,1
,,11412,1,1024002000,COUNSELLING AND CAREER SUPPORT,Sub-family,Yes,,1
,,11418,1,1028000000,EDUCATION DELIVERY,Job Family,Yes,,1
,,11419,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
,,10709,2,1029003002,FINANCE REPORTING,Specialisation,Yes,,1
,,11387,2,1001001000,BUSINESS ANALYSIS,Sub-family,,,1
,,11418,2,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
,,10709,3,1000002000,REPORTING (SUB),Sub-family,Yes,,1
b53a9c2a-1354-566d-b69e-7bd06974992a,1,10000,1,1028002001,TEACHING AND ASSESSMENT,Specialisation,Yes,,1
f56fc877-9a1b-5043-9a86-57d27f647d09,2,10001,1,1022001000,ABORIGINAL COMMUNITY ENGAGEMENT,Sub-family,Yes,,1
9e08f743-6b29-5331-b3d6-15d05828a8c3,3,10002,1,1024001000,ABORIGINAL STUDENT SUPPORT,Sub-family,Yes,,1
57e2bcd0-1517-5d21-9c63-d25f211d7982,4,10003,1,1028002001,TEACHING AND ASSESSMENT,Specialisation,Yes,,1
093fa2ff-b753-50a5-83e2-399ac9ffe364,5,10004,1,1014006001,CAPABILITY DEVELOPMENT,Specialisation,Yes,,1
7f22d030-a3de-599f-b0ab-fc692adc92d0,6,10005,1,1005000000,CHANGE,Job Family,Yes,,1
5fc285d5-159d-5ada-b949-d26bc1e4a9c0,7,10006,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
5488ae52-8f90-550d-8dff-f39fbdf12cb9,8,10007,1,1007000000,COMMUNICATIONS,Job Family,Yes,,1
4e70ede2-0390-58c1-85b8-040f96a2ab7a,9,10008,1,1028002001,TEACHING AND ASSESSMENT,Specialisation,Yes,,1
61cad0da-379e-5ca7-a542-397f43a4d721,10,10009,1,1024002000,COUNSELLING AND CAREER SUPPORT,Sub-family,Yes,,1
3b4b2b02-283b-5061-9dca-0f62f63f5ba1,11,10010,1,1023002001,ENQUIRIES AND STUDENT ADMINISTRATION (DOMESTIC),Specialisation,Yes,,1
30b401ce-bf92-59a0-b9c4-62262c8749e7,12,10011,1,1023002001,ENQUIRIES AND STUDENT ADMINISTRATION (DOMESTIC),Specialisation,Yes,,1
044626a8-fb9d-5130-9bee-a781fc5070fb,13,10012,1,1030009003,DEVELOPER FULL STACK,Specialisation,Yes,,1
b56dbb19-8f59-56e2-b0b6-7c7de7f380d5,14,10012,1,1030009003,DEVELOPER FULL STACK,Specialisation,Yes,,1
7515e3a1-4c07-5fcf-8a80-dc747006af2f,15,10013,1,1028003003,LEARNING FACILITATION SUPPORT (DISABILITY),Specialisation,Yes,,1
c6349bb0-ff6b-5602-bb4e-787a92e76297,16,10014,1,1028002002,TEACHING AND ASSESSMENT – DISABILITY,Specialisation,Yes,,1
c6349bb0-ff6b-5602-bb4e-787a92e76297,16,10014,2,1024003000,DISABILITY AND ACCESS SUPPORT,Sub-family,Yes,,1
e7c9e2bf-0f18-58d4-91c5-73d81424a37d,17,10015,1,1006000000,CHILDREN’S CENTRES,Job Family,Yes,,1
b59c196f-493d-5ed1-96a3-4111fd721753,18,10016,1,1003001000,ADMINISTRATION,Sub-family,Yes,,1
b59c196f-493d-5ed1-96a3-4111fd721753,18,10016,2,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
b7e4bc96-e59d-582a-acff-39556b0e13bb,19,10018,1,1028003002,LEARNING FACILITATION SUPPORT,Specialisation,Yes,,1
5fd4fa37-9e0c-544d-99a4-54f04fa69ee3,20,10020,1,1028003000,TEACHING AND ASSESSMENT SUPPORT,Sub-family,Needs Review,,1
2a0bcd65-8a81-5d73-a6cc-06ffed404f6e,21,10021,1,1015001002,FACILITIES SERVICES,Specialisation,Yes,,1
0f62c859-81ae-558c-9ffd-18c398715a54,22,10022,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
0f62c859-81ae-558c-9ffd-18c398715a54,22,10022,2,1027002000,STORES AND LOGISTICS OPERATIONS,Sub-family,Yes,,1
2ff0b8a4-bf2b-5716-8ea3-4d840a5887a9,23,10023,1,1028002000,TEACHING AND ASSESSMENT,Sub-family,Yes,,1
5643c06f-7018-542a-bc85-aa8ef4325adf,24,10024,1,1028002000,TEACHING AND ASSESSMENT,Sub-family,Yes,,1
cf34f910-3f04-5592-9089-741892163814,25,10025,1,1019000000,LIBRARY,Job Family,Yes,,1
16b27080-0d05-515b-8ef0-8ef47704784f,26,10026,1,1019000000,LIBRARY,Job Family,Yes,,1
7f984b82-b315-58b1-bd27-fb4217551673,27,10027,1,1019000000,LIBRARY,Job Family,Yes,,1
726ae2c4-cb15-50a3-bfc2-21e927b8dfa6,28,10028,1,1019000000,LIBRARY,Job Family,Yes,,1
8400cfca-1ad0-5fc2-b8ba-1d54f5d5b916,29,10029,1,1019000000,LIBRARY,Job Family,Yes,,1
1184e39c-7a69-5196-8a6f-697d640be5c9,30,10030,1,1008002000,COURSE DEVELOPMENT OPERATIONS,Sub-family,,,1
adc1d7e8-6ee5-564b-8dc5-53bbce2f8cfb,31,10031,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
e876a644-ed0e-5ea7-9af8-bdee93e39415,32,10032,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
0d831574-6a9e-599b-a280-9da81c95aeb7,33,10033,1,1026002000,PROGRAM/PROJECT AUXILLIARY AND SUPPORT,Sub-family,Yes,,1
b70d3367-21fe-5a77-beab-268caa90ca8e,34,10034,1,1026002000,PROGRAM/PROJECT AUXILLIARY AND SUPPORT,Sub-family,Yes,,1
